Sample name,Retention Time,Retention Time Ref,Peak Height,Peak Area,Retention index,Retention index Ref,Retention Index Score,Similarity Score,Spectral Similarity Score,Compound Name,Weighted Cosine Correlation,Cosine Correlation,Stein Scott Similarity,Pearson Correlation,Spearman Correlation,Kendall Tau Correlation,Euclidean Distance,Manhattan Distance,Jaccard Distance,DWT Correlation,DFT Correlation
GCMS_FAMEs_01_GCMS02_20200302,6.318133333333334,6.144,352320.4285714284,1765849.0999999992,680.6384851151641,678.1,0.6990766993249437,0.8450603606409406,0.9291143815690616, [1030] propylene glycol [6.144],0.8557324504784217,0.9291143815690616,5.74755250975391,0.9289491701112966,0.6403821050851556,0.4901433123568544,0.5082664482772452,0.5030723474698728,0.004149377593360996,0.8946818315917093,0.8843389412066781
GCMS_FAMEs_01_GCMS02_20200302,6.418216666666667,6.332,425149.68571428553,3006681.6857142844,687.9276545382819,695.33,0.04763673752943316,0.20727581090239883,0.43236639229794105," [673] N,N-dimethylglycine [6.332]",0.266972416604068,0.43236639229794105,3.5343336795010933,0.3720495520793815,0.30669525629418376,0.233969079418505,0.5041178014635699,0.5022089438017165,0.0037174721189591076,0.31449822095021174,0.3274359993915985
GCMS_FAMEs_01_GCMS02_20200302,6.562083333333334,6.332,269657.11428571417,1597570.5428571422,698.4056079871333,695.33,0.5912476880412889,0.432980337294679,0.3705250152850168," [673] N,N-dimethylglycine [6.332]",0.17213612673419304,0.3705250152850168,2.859573163808584,0.2686557117869218,0.05026629052360069,0.03895621386765344,0.5094628945428286,0.5030360839463678,0.003389830508474576,0.21092872521353348,0.24048972228882123
GCMS_FAMEs_01_GCMS02_20200302,6.8248,6.811,423573.3999999998,1521992.3714285707,717.5395259915638,720.4,0.6347190213665751,0.53768121854678,0.49487617189244604, [PNNLMET0062] pyruvic acid [6.811],0.1224647820700465,0.49487617189244604,1.0592767514676464,0.45934618947048017,0.0948569173072136,0.07654201925515161,0.5027265284865566,0.5013612927343645,0.0034602076124567475,0.21410911563150725,0.20587052640079306
GCMS_FAMEs_01_GCMS02_20200302,6.862333333333334,6.811,533847.1714285712,2247078.4714285703,720.2731162564867,720.4,0.9991059840723648,0.4901051040945227,0.3432638411978728, [PNNLMET0062] pyruvic acid [6.811],0.175072654633878,0.3432638411978728,1.6142932343541698,0.2800744030079338,0.15570834021035027,0.11932313248654111,0.5017447964857022,0.5009861751321806,0.003952569169960474,0.18940012994900696,0.22427015606766543
GCMS_FAMEs_01_GCMS02_20200302,6.899866666666667,6.811,422342.5999999998,1910053.0714285704,723.0067065214093,720.4,0.6855762909075752,0.6236627571505751,0.5948354192022418, [PNNLMET0062] pyruvic acid [6.811],0.23285875759710975,0.5948354192022418,1.6361431188131774,0.5616170028362647,0.266022956256014,0.2116187754210207,0.5038316498292488,0.501970797114332,0.0036363636363636364,0.33454592222709656,0.3205912541509543
GCMS_FAMEs_01_GCMS02_20200302,6.956166666666666,6.944,182059.97142857133,1902722.2285714275,727.1070919187935,730.0,0.6281728933181198,0.575127169197678,0.550308512094698,lactic acid,0.4286693614436374,0.550308512094698,3.0622788384994557,0.5091646552408613,0.29671370727404156,0.22199253056786578,0.5121544573085015,0.5053149896926383,0.004081632653061225,0.4520695228269219,0.469099334285269
GCMS_FAMEs_01_GCMS02_20200302,7.04375,6.944,1168401.6571428566,4892871.557142855,733.4858738202896,730.0,0.5091191887464477,0.6764389594771614,0.7797101473169477,lactic acid,0.676260296235651,0.7797101473169477,1.9429952918873261,0.7641971376734933,0.48491492686442716,0.3890150615570689,0.5016401635531486,0.5008826114239324,0.008264462809917356,0.6985129555524174,0.708410389593788
GCMS_FAMEs_01_GCMS02_20200302,7.131316666666667,7.153,343631.51428571413,2302140.0428571417,739.8634418717568,745.0,0.23089539131238163,0.561081811790037,0.8746446697721015,glycolic acid,0.664016847582147,0.8746446697721015,5.706245554068984,0.8736384900342814,0.4290544748266734,0.3478994326489109,0.5064587335297769,0.5022153578007774,0.007692307692307693,0.7201660707491518,0.7158869195994444
GCMS_FAMEs_01_GCMS02_20200302,7.318983333333334,7.153,269235.5142857142,3351715.542857141,753.5313931963707,745.0,0.017534362172020413,0.23628585659004459,0.8673843935245282,glycolic acid,0.706305584323728,0.8673843935245282,1.17136543803448,0.8636820461134053,0.5160312490147023,0.41209273580531175,0.507563850818052,0.502884932260079,0.0,0.7477379030795895,0.7477157147588245
